feature,coef
station_name_27042 Av. P. Carriquiry - Av. Ricardo Angulo,-2.702686343037864e+23
day_of_week_Friday,7.995906263314571e+19
day_of_week_Monday,-4.068402371854289e+19
day_of_week_Saturday,1.1011983422106781e+20
day_of_week_Sunday,1.4028060580899004e+20
day_of_week_Thursday,4.979829104522373e+19
day_of_week_Tuesday,-1.0523252130620934e+19
day_of_week_Wednesday,1.9637519457301352e+19
periodo_dia_mañana,8.059371149499148e+19
periodo_dia_noche,8.059371149499166e+19
periodo_dia_tarde,8.059371149499179e+19
clima_miraflores_Clima: pronóstico del tiempo,2.219266704705488e+19
clima_miraflores___missing__,2.2192667047055557e+19
in_miraflores_0.0,1.3751169592964948e+21
in_miraflores_1.0,-1.2122184769314954e+20
date_2025-10-01,1105564.0
date_2025-10-02,185006.0
date_2025-10-03,167206.0
date_2025-10-04,21793.0
date_2025-10-05,375238.10916508845
date_2025-10-06,-157372.0
date_2025-10-07,203216.0
date_2025-10-08,398919.0
date_2025-10-09,-165226.0
date_2025-10-10,58112.0
date_2025-10-11,174622.0
date_2025-10-12,438401.932491335
date_2025-10-13,61540.0
date_2025-10-14,354194.0
date_2025-10-15,189509.0
date_2025-10-16,148574.0
date_2025-10-17,133226.0
date_2025-10-18,105987.0
date_2025-10-19,421243.6529001652
date_2025-10-20,262524.0
date_2025-10-21,362978.0
date_2025-10-22,177708.0
date_2025-10-23,-132322.0
date_2025-10-24,64080.0
date_2025-10-25,87517.0
date_2025-10-26,482932.07876628893
date_2025-10-27,-67816.0
date_2025-10-28,247366.0
date_2025-10-29,75044.0
date_2025-10-30,43330.0
date_2025-10-31,244292.0
date_2025-11-01,274833.0
date_2025-11-02,43796.48043806466
date_2025-11-03,-342004.0
date_2025-11-04,194208.0
date_2025-11-05,-133037.0
date_2025-11-06,55932.0
date_2025-11-07,139168.0
date_2025-11-08,245125.0
date_2025-11-09,278145.9535636411
date_2025-11-10,62680.0
date_2025-11-11,208026.0
date_2025-11-12,44907.0
date_2025-11-13,94210.0
date_2025-11-14,132922.0
date_2025-11-15,127738.0
date_2025-11-16,252075.76201988093
date_2025-11-17,195496.0
date_2025-11-18,36714.0
date_2025-11-19,3207.0
date_2025-11-20,-22832.0
date_2025-11-21,-37398.0
date_2025-11-22,8453.0
date_2025-11-23,3446.958535248644
date_2025-11-24,66852.0
date_2025-11-25,11604.0
date_2025-11-26,9336.0
date_2025-11-27,11860.0
