Fecha,TC_Oficial_BCRP,RIN_Reservas
2016-01-29,3.47057142857143,59981.47624163
2016-02-01,3.48357142857143,59937.95663206
2016-02-02,3.49342857142857,59923.62090419
2016-02-03,3.493,59950.05914242
2016-02-04,3.47842857142857,59984.79493644
2016-02-05,3.482,60093.95617378
2016-02-08,3.49271428571429,60395.98997332
2016-02-09,3.50171428571429,60345.68077874
2016-02-10,3.507,60661.84954063
2016-02-11,3.51542857142857,60738.80151474
2016-02-12,3.509,60633.83672384
2016-02-15,3.50414285714286,60615.18654208
2016-02-16,3.50885714285714,60419.32948601
2016-02-17,3.50585714285714,60256.31790632
2016-02-18,3.505,60659.35334188
2016-02-19,3.514,60541.30218922
2016-02-22,3.52,60482.5626078
2016-02-23,3.52914285714286,60609.00058487
2016-02-24,3.53742857142857,60556.98351907
2016-02-25,3.53,60512.98841
2016-02-26,3.52314285714286,60449.44401524
2016-02-29,3.525,60197.98622173
2016-03-01,3.52128571428571,61168.14455874
2016-03-02,3.51085714285714,61005.27012416
2016-03-03,3.46714285714286,61237.01114036
2016-03-04,3.44185714285714,61281.73276807
2016-03-07,3.46428571428571,61289.15422978
2016-03-08,3.46628571428571,61194.11803394
2016-03-09,3.44414285714286,61122.52665269
2016-03-10,3.44028571428571,61108.23199616
2016-03-11,3.38528571428571,61342.10101729
2016-03-14,3.362,61282.36565119
2016-03-15,3.34857142857143,61215.67104423
2016-03-16,3.37671428571429,61235.07996599
2016-03-17,3.35171428571429,61319.19959303
2016-03-18,3.37757142857143,61306.33871699
2016-03-21,3.39542857142857,61326.64735508
2016-03-22,3.41542857142857,61356.85986303
2016-03-23,3.40128571428572,61130.65202942
2016-03-28,3.36142857142857,60953.56825508
2016-03-29,3.38528571428571,60954.43739558
2016-03-30,3.36142857142857,61181.87394316
2016-03-31,3.32842857142857,61280.63694715
2016-04-01,3.34857142857143,61386.40725738
2016-04-04,3.357,61361.7722937
2016-04-05,3.36371428571429,61647.29585919
2016-04-06,3.38014285714286,61599.33566806
2016-04-07,3.40657142857143,61533.49158997
2016-04-08,3.40657142857143,61452.46564214
2016-04-11,3.29842857142857,61267.26589346
2016-04-12,3.26957142857143,61384.21639153
2016-04-13,3.26957142857143,61441.51914664
2016-04-14,3.28014285714286,61545.64702367
2016-04-15,3.28028571428571,61537.81406789
2016-04-18,3.276,61549.0870324
2016-04-19,3.25014285714286,61557.42135238
2016-04-20,3.25157142857143,61813.28214268
2016-04-21,3.263,61851.4431318
2016-04-22,3.27271428571429,61728.36087876
2016-04-25,3.28628571428571,61539.61236443
2016-04-26,3.28471428571429,61623.95935066
2016-04-27,3.29071428571429,61397.33085722
2016-04-28,3.28014285714286,61467.03019202
2016-04-29,3.27728571428571,61273.48629894
2016-05-02,3.29385714285714,61386.40725738
2016-05-03,3.33357142857143,61361.7722937
2016-05-04,3.33514285714286,61128.43151666
2016-05-05,3.31928571428571,60957.31744348
2016-05-06,3.31828571428571,60945.60169532
2016-05-09,3.34085714285714,60857.18648662
2016-05-10,3.33328571428571,60817.24962347
2016-05-11,3.33328571428571,60687.83802303
2016-05-12,3.32842857142857,60820.65128015
2016-05-13,3.338,60890.69863335
2016-05-16,3.33057142857143,60882.5965416
2016-05-17,3.317,60791.45948851
2016-05-18,3.32342857142857,60704.48080268
2016-05-19,3.34242857142857,60607.24931059
2016-05-20,3.33628571428571,60514.897488
2016-05-23,3.34685714285714,60709.47852272
2016-05-24,3.34171428571429,60984.70788617
2016-05-25,3.34014285714286,60806.33437831
2016-05-26,3.34257142857143,60922.46990822
2016-05-27,3.357,60709.6515477
2016-05-30,3.363,60703.78656473
2016-05-31,3.37342857142857,60619.2519718
2016-06-01,3.38257142857143,60500.85254563
2016-06-02,3.37571428571429,60253.968692
2016-06-03,3.34471428571429,60532.45837027
2016-06-06,3.31757142857143,60518.12462758
2016-06-07,3.30814285714286,60548.94300718
2016-06-08,3.293,60480.8363131
2016-06-09,3.312,60531.15951387
2016-06-10,3.326,60584.47115641
2016-06-13,3.332,60504.95519269
2016-06-14,3.33442857142857,60504.58184756
2016-06-15,3.321,60218.47356395
2016-06-16,3.33657142857143,60251.16303329
2016-06-17,3.32085714285714,60331.45619005
2016-06-20,3.28914285714286,60098.85091985
2016-06-21,3.28785714285714,60050.29739821
2016-06-22,3.28342857142857,60013.25524424
2016-06-23,3.28357142857143,59935.92769159
2016-06-24,3.32228571428572,59738.44065505
2016-06-27,3.323,59625.72008418
2016-06-28,3.304,59183.59308107
2016-06-30,3.292,59563.99062227
2016-07-01,3.28714285714286,59619.09607443
